# Quantum Simulator Memory Profile
# Generated: Jan  2 2026
# State Vector Memory Profile
qubits,theoretical_mb,actual_mb,alloc_us,free_us,overhead_pct
4,0.00,0.05,32.00,4.00,19100.00
6,0.00,0.00,1.00,4.00,-100.00
8,0.00,0.00,0.00,5.00,-100.00
10,0.02,0.02,2.00,7.00,0.00
12,0.06,0.09,11.00,29.00,50.00
14,0.25,0.25,24.00,98.00,0.00
16,1.00,1.00,76.00,337.00,0.00
18,4.00,4.03,363.00,1435.00,0.78
20,16.00,16.05,1213.00,5168.00,0.29

# Tensor Network Memory Profile
sites,bond_dim,theoretical_mb,actual_mb,alloc_us,free_us
50,8,0.20,0.06,33.00,6.00
50,16,0.78,0.78,7.00,4.00
50,32,3.12,3.12,6.00,4.00
50,64,12.50,12.50,5.00,3.00
50,128,50.00,50.00,5.00,4.00
100,8,0.39,0.02,12.00,8.00
100,16,1.56,1.56,11.00,7.00
100,32,6.25,6.25,9.00,7.00
100,64,25.00,25.00,12.00,8.00
100,128,100.00,100.00,11.00,7.00
200,8,0.78,0.03,25.00,17.00
200,16,3.12,3.12,23.00,14.00
200,32,12.50,12.50,22.00,11.00
200,64,50.00,50.00,23.00,12.00
200,128,200.00,200.00,23.00,14.00
500,8,1.95,0.09,54.00,31.00
500,16,7.81,7.81,55.00,28.00
500,32,31.25,0.11,83.00,34.00
500,64,125.00,0.05,53.00,32.00
500,128,500.00,500.00,45.00,28.00
1000,8,3.91,0.16,117.00,68.00
1000,16,15.62,15.62,97.00,56.00
1000,32,62.50,62.50,111.00,55.00
1000,64,250.00,250.00,103.00,67.00
1000,128,1000.00,1000.00,117.00,60.00

# Allocation Pattern Analysis
pattern,qubits,iterations,total_time_ms,avg_alloc_us,avg_free_us,peak_mb
sequential,14,100,8.98,3.39,86.40,25.31
batch,14,100,10.18,0,0,34.47
growing,4-18,8,2.14,0,0,38.50

# Memory Fragmentation Analysis
iteration,allocated_mb,resident_mb,fragmentation_pct
0,5.33,3.16,-68.81
1,2.66,3.16,15.59
2,3.99,3.20,-24.63
